,중분류,소분류,도서명,판매지수,가격,출판일,링크
28,컴퓨터 입문/활용,어린이 컴퓨터,모두의 파이썬,"16,491","10,800",2018년 10월,http://www.yes24.com//Product/Goods/66531799?OzSrank=29
29,자연과학 계열,수학,미적분과 벡터해석 기초 ,"5,394","15,000",2020년 03월,http://www.yes24.com//Product/Goods/89325687?OzSrank=30
30,프로그래밍 언어,파이썬,창의적 문제 해결을 위한 파이썬 프로그래밍,"6,264","23,000",2020년 02월,http://www.yes24.com//Product/Goods/88319103?OzSrank=31
31,OS/데이터베이스,클라우드/빅데이터,파이썬 라이브러리를 활용한 머신러닝,"8,802","28,800",2019년 03월,http://www.yes24.com//Product/Goods/70969329?OzSrank=32
32,컴퓨터 공학,컴퓨터 교육,6개월 치 업무를 하루 만에 끝내는 업무 자동화,"7,692","25,200",2020년 12월,http://www.yes24.com//Product/Goods/96360166?OzSrank=33
33,프로그래밍 언어,파이썬,파이썬 코딩 도장,"10,485","22,500",2018년 11월,http://www.yes24.com//Product/Goods/66758183?OzSrank=34
34,프로그래밍 언어,파이썬,파이썬과 함께하는 자료구조의 이해,"4,185","25,000",2018년 01월,http://www.yes24.com//Product/Goods/57949931?OzSrank=35
35,프로그래밍 언어,파이썬,파이썬으로 만드는 인공지능,"3,252","31,000",2021년 01월,http://www.yes24.com//Product/Goods/96969993?OzSrank=36
36,공학계열,컴퓨터공학,파이썬 ,"5,478","22,000",2016년 07월,http://www.yes24.com//Product/Goods/30075248?OzSrank=37
37,프로그래밍 언어,파이썬,파이썬 연습,"3,168","26,000",2020년 02월,http://www.yes24.com//Product/Goods/89510536?OzSrank=38
38,프로그래밍 언어,파이썬,파이썬으로 쉽게 풀어쓴 자료구조,"4,566","27,000",2020년 02월,http://www.yes24.com//Product/Goods/89141599?OzSrank=39
39,프로그래밍 언어,파이썬,파이썬을 이용한 공학 프로그래밍,0,"22,500",2020년 03월,http://www.yes24.com//Product/Goods/97947948?OzSrank=40
40,OS/데이터베이스,클라우드/빅데이터,파이썬으로 배우는 포트폴리오,0,"23,400",2021년 03월,http://www.yes24.com//Product/Goods/97928496?OzSrank=41
41,프로그래밍 언어,파이썬,파이썬과 OpenCV로 실습하며 배우는 영상처리,60,"23,000",2021년 03월,http://www.yes24.com//Product/Goods/97913442?OzSrank=42
42,OS/데이터베이스,클라우드/빅데이터,파이썬 라이브러리를 활용한 데이터 분석,"13,092","31,500",2019년 05월,http://www.yes24.com//Product/Goods/73268296?OzSrank=43
