,중분류,소분류,도서명,판매지수,가격,출판일,링크
1010,프로그래밍 언어,프로그래밍 언어 기타,실전! 텐서플로 2를 활용한 딥러닝 컴퓨터 비전,"4,350","25,200","벤자민 플랜치,앨리엇 안드레스 저/김정인 역 | 위키북스 | 2020년 06월",http://www.yes24.com/Product/Goods/90365150
1011,그래픽/디자인/멀티미디어,그래픽일반/자료집,웹툰 스케치업 무작정 따라하기,"3,642","24,300",몽토리 저 | 길벗 | 2020년 04월,http://www.yes24.com/Product/Goods/90053001
1012,OS/데이터베이스,클라우드/빅데이터,R 교과서,"1,194","29,700",쿤 렌 저/이준용 역 | 길벗 | 2020년 04월,http://www.yes24.com/Product/Goods/90036110
1013,컴퓨터 공학,컴퓨터 교육,스크래치 3.0 퀘스트 이재호 교수의 사고력 코딩,702,"18,000","백승욱,김태훈,장준형,이재호 저 | 홍릉과학출판사 | 2020년 04월",http://www.yes24.com/Product/Goods/89903080
1014,프로그래밍 언어,프로그래밍 언어 기타,코틀린을 다루는 기술,"4,425","32,400",피에르 이브 쏘몽 저/오현석 역 | 길벗 | 2020년 03월,http://www.yes24.com/Product/Goods/89564200
1015,그래픽/디자인/멀티미디어,포토샵,이기적 GTQ 포토샵 2급 기본서 ver.CS4,"2,940","16,200","송재현,일마,영진정보연구소 저 | 영진닷컴 | 2020년 02월",http://www.yes24.com/Product/Goods/89327708
1016,웹사이트,HTML/JavaScript/CSS/jQuery,초보자를 위한 JSP 프로그래밍,582,"30,000","조혁현,정희택,이영록 저 | 21세기사 | 2020년 02월",http://www.yes24.com/Product/Goods/89233206
1017,웹사이트,HTML/JavaScript/CSS/jQuery,Do it! 리액트 프로그래밍 정석,"7,617","32,400",박호준 저 | 이지스퍼블리싱 | 2020년 02월,http://www.yes24.com/Product/Goods/87631428
1018,게임,게임 기획,유니티를 이용한 VR 앱 개발,"2,316","28,800","저자 코노 노부히로,마츠시마 히로키,오오시마 타케나오 저/김은철,유세라 역 | 영진닷컴 | 2020년 02월",http://www.yes24.com/Product/Goods/86667126
1019,컴퓨터 공학,개발방법론,업무 시각화,"6,780","16,200","도미니카 드그란디스 저/유지은,김혜주 역/조승빈 감수 | 에이콘출판사 | 2020년 01월",http://www.yes24.com/Product/Goods/86627323
1020,인터넷 비즈니스,인터넷 마케팅,고객이 보이는 구글 애널리틱스,"9,774","27,000",문준영 저 | 한빛미디어 | 2020년 02월,http://www.yes24.com/Product/Goods/86360806
1021,프로그래밍 언어,파이썬,파이썬 프로그래밍,642,"34,000",김영탁 저 | 홍릉과학출판사 | 2020년 01월,http://www.yes24.com/Product/Goods/86023334
1022,그래픽/디자인/멀티미디어,포토샵,마담의크스 포토샵 CC,"1,332","18,900","마담의크스 카페,네모기획 저 | 영진닷컴 | 2020년 01월",http://www.yes24.com/Product/Goods/85578400
1023,공학계열,컴퓨터공학,소프트웨어 교육론,774,"25,200","정영식,유정수,임진숙,홍지연 저 | 씨마스 | 2019년 11월",http://www.yes24.com/Product/Goods/83518556
1024,컴퓨터 입문/활용,어린이 컴퓨터,파워포인트 2010과 함께하는 컴퓨터로 작품 만들기,"2,130","9,000",김향미 저 | 마린북스 | 2019년 10월,http://www.yes24.com/Product/Goods/82902948
1025,네트워크/해킹/보안,보안/해킹,밑바닥부터 시작하는 비트코인,948,"29,700",송재준 저/류정필 역 | 한빛미디어 | 2019년 11월,http://www.yes24.com/Product/Goods/81536965
1026,컴퓨터 공학,컴퓨터 교육,모두의 스크래치,"3,450","18,000",문혜영 저 | 길벗 | 2019년 09월,http://www.yes24.com/Product/Goods/78877176
1027,네트워크/해킹/보안,보안/해킹,암호와 해킹,"1,830","20,700",장삼용 저 | 정보문화사 | 2019년 08월,http://www.yes24.com/Product/Goods/77133746
1028,프로그래밍 언어,파이썬,The Python - 파이썬 프로그래밍(합본),456,"54,800",허진경 저 | BOOKK(부크크) | 2019년 07월,http://www.yes24.com/Product/Goods/76890401
1029,프로그래밍 언어,프로그래밍 교육,모두를 위한 RPA 유아이패스 UiPath 입문 + 활용,"4,662","23,400",송순오 저 | 앤써북 | 2020년 08월,http://www.yes24.com/Product/Goods/76627191
1030,오피스 활용,MS Excel(엑셀),엑셀+파워포인트 2019,462,"16,200","서정아,김은정 저 | 정보문화사 | 2019년 07월",http://www.yes24.com/Product/Goods/76478737
1031,모바일/태블릿/SNS,앱가이드,창의력을 키우는 앱 인벤터,834,"23,000","김경희,김혜란,문혜인 저 | 연두에디션 | 2019년 07월",http://www.yes24.com/Product/Goods/75573473
1032,컴퓨터 공학,마이크로 프로세서,아두이노 배우면서 사물 인터넷(IoT) 직접 코딩하기,"2,412","19,800","서민우,박준원 저 | 앤써북 | 2019년 07월",http://www.yes24.com/Product/Goods/75217332
1033,프로그래밍 언어,파이썬,최적합 전문코딩능력평가 COS PRO 2급 Python,"1,956","19,800",장대경 저 | 성안당 | 2019년 04월,http://www.yes24.com/Product/Goods/72307788
1034,오피스 활용,MS Excel(엑셀),엑셀 바이블,"5,934","32,400",최준선 저 | 한빛미디어 | 2019년 05월,http://www.yes24.com/Product/Goods/72260609
1035,프로그래밍 언어,C,절대 강자 C언어 코스웨어,"1,236","33,000",김명호 저 | 홍릉과학출판사 | 2019년 02월,http://www.yes24.com/Product/Goods/71923077
1036,컴퓨터 공학,컴퓨터 교육,커리어 스킬,"3,996","25,200",존 손메즈 저/이미령 역 | 길벗 | 2019년 04월,http://www.yes24.com/Product/Goods/71829578
1037,OS/데이터베이스,MySQL,이것이 MariaDB다,"2,502","27,000",우재남 저 | 한빛미디어 | 2019년 04월,http://www.yes24.com/Product/Goods/71736690
1038,경영,서비스/고객만족,서비스 디자인 바이블,"1,944","23,400","조 히피,올리버 킹,제임스 삼페리 공저/김수미 역 | 유엑스리뷰 | 2019년 02월",http://www.yes24.com/Product/Goods/70442666
1039,그래픽/디자인/멀티미디어,AUTOCAD,AutoCAD 2016 인터페이스,558,"25,000","이준철,최대규 공저 | 사이버북스 | 2019년 02월",http://www.yes24.com/Product/Goods/70384019
1040,프로그래밍 언어,C,AVR ATmega128 마이크로컨트롤러 활용,630,"35,000","이응혁,한영환,장문석,엄수홍 저 | ITC | 2019년 02월",http://www.yes24.com/Product/Goods/69765283
1041,프로그래밍 언어,파이썬,배프의 오지랖 파이썬 웹프로그래밍,"1,530","19,800",배프 저 | 디지털북스 | 2019년 03월,http://www.yes24.com/Product/Goods/69758579
1042,OS/데이터베이스,클라우드/빅데이터,엑셀만 알아도 할 수 있는 데이터 과학,"3,042","17,820","우와후지 이치로우,니시카와 히로아키,아사쿠라 마사미,모리모토 에이이치 저/진솔 역 | 한빛미디어 | 2019년 03월",http://www.yes24.com/Product/Goods/69747577
1043,컴퓨터 공학,자료구조/알고리즘,PyTorch로 시작하는 딥러닝,"3,375","22,500",비슈누 수브라마니안 저/김태완 역 | 에이콘출판사 | 2019년 02월,http://www.yes24.com/Product/Goods/69335909
1044,프로그래밍 언어,파이썬,파이썬 클린 코드 ,"2,892","25,200",마리아노 아나야 저/김창수 역 | 터닝포인트 | 2019년 02월,http://www.yes24.com/Product/Goods/69064790
1045,그래픽/디자인/멀티미디어,포토샵,포토샵 & 일러스트레이터CC 기초+활용 실습,804,"18,900",유윤자 저 | 아티오 | 2019년 01월,http://www.yes24.com/Product/Goods/68879558
1046,게임,게임 개발,게임 디자인을 위한 기초 이론,"1,080","36,000",남기덕 저 | 에이콘출판사 | 2019년 02월,http://www.yes24.com/Product/Goods/68869832
1047,OS/데이터베이스,리눅스,이것이 fedora 리눅스다,"1,263","27,000",우재남 저 | 한빛미디어 | 2019년 01월,http://www.yes24.com/Product/Goods/68313346
1048,OS/데이터베이스,클라우드/빅데이터,대시보드 설계와 데이터 시각화,"9,933","29,700","앤디 코트그리브,제프리 섀퍼,스티브 웩슬러 저/최윤석 역 | 책만 | 2018년 12월",http://www.yes24.com/Product/Goods/67452841
1049,그래픽/디자인/멀티미디어,일러스트레이터,design school 일러스트레이터 CC 2019,"1,128","23,000",이영주 저 | 한빛아카데미 | 2018년 11월,http://www.yes24.com/Product/Goods/67133936
1050,컴퓨터 공학,취미 공학,드론 정비 개론,978,"22,000","김영준 저/유지창,장선호,최명수 공저/류지형 감수 | 성안당 | 2018년 11월",http://www.yes24.com/Product/Goods/66908981
1051,게임,게임 개발,이득우의 언리얼 C++ 게임 개발의 정석,"3,906","45,000",이득우 저 | 에이콘출판사 | 2018년 10월,http://www.yes24.com/Product/Goods/65418549
1052,그래픽/디자인/멀티미디어,건축CG,라이노 6.0 시크릿노트,"3,048","20,700",한기준 저 | 대가 | 2018년 10월,http://www.yes24.com/Product/Goods/65281959
1053,OS/데이터베이스,MySQL,그누위즈의 PHP & MySQL 웹 프로그래밍 입문 + 활용 (PHP 7 기반),"1,032","20,700","윤성훈.정동진,최주호 공저 | 앤써북 | 2018년 10월",http://www.yes24.com/Product/Goods/64728178
1054,OS/데이터베이스,클라우드/빅데이터,Do it! 데이터 분석을 위한 판다스 입문,"6,102","15,300",다니엘 첸 저/김영하 역 | 이지스퍼블리싱 | 2018년 10월,http://www.yes24.com/Product/Goods/64625506
1055,그래픽/디자인/멀티미디어,AUTOCAD,AutoCAD 오토캐드 2018,726,"22,500","김재수,김민주 저 | 세진사 | 2018년 08월",http://www.yes24.com/Product/Goods/64260106
1056,프로그래밍 언어,파이썬,파이썬 웹 프로그래밍,"8,076","19,800",김석훈 저 | 한빛미디어 | 2018년 08월,http://www.yes24.com/Product/Goods/63503495
1057,컴퓨터 공학,컴퓨터 교육,Introduction to Information security with a Workbook 정보보호개론,696,"21,000",이문구 저 | 이한미디어 | 2018년 03월,http://www.yes24.com/Product/Goods/63346646
1058,5-6학년,5-6학년 학습,마인크래프트 게임 제작 무작정 따라하기,"4,410","12,600","신윤철,이상민 저 | 길벗 | 2018년 07월",http://www.yes24.com/Product/Goods/62158603
1059,네트워크/해킹/보안,보안/해킹,화이트 해커를 위한 웹 해킹의 기술,"4,164","25,200",최봉환 저 | 비제이퍼블릭(BJ퍼블릭) | 2018년 06월,http://www.yes24.com/Product/Goods/61781263
1060,게임,게임 개발,게임 기획의 멘토링,"1,698","30,000",박재석 저 | 북스홀릭퍼블리싱 | 2018년 06월,http://www.yes24.com/Product/Goods/61510117
1061,OS/데이터베이스,시스템관리/서버,친절한 SQL 튜닝,"4,194","36,100",조시형 저 | 디비안(DBian) | 2018년 06월,http://www.yes24.com/Product/Goods/61254539
1062,게임,게임 개발,3D 게임 비주얼과 연출의 기술,"1,368","48,600",오노 코지 저/김성재 역 | 길벗 | 2018년 05월,http://www.yes24.com/Product/Goods/60896697
1063,OS/데이터베이스,클라우드/빅데이터,"카프카, 데이터 플랫폼의 최강자","4,308","27,000",고승범 저/공용준 공저 | 책만 | 2018년 04월,http://www.yes24.com/Product/Goods/59789254
1064,프로그래밍 언어,C,C 언어 트레이닝,972,"25,000",김상형 저 | 한빛아카데미 | 2017년 12월,http://www.yes24.com/Product/Goods/57537358
1065,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,디지털 영상처리,"1,134","28,000","심동규,임웅 저 | 한빛아카데미 | 2017년 11월",http://www.yes24.com/Product/Goods/57435554
1066,웹사이트,HTML/JavaScript/CSS/jQuery,웹프로그래밍 HTML5 CSS3 자바스크립트 JQuery with 한국.net 이름포털 ,420,"26,000",김영복 저 | 21세기사 | 2017년 09월,http://www.yes24.com/Product/Goods/46830045
